"Risk","CUE2_Appearance2_Lot of (vs. no) body adornment_Abstract_0","CUE4_Appearance4_Worn out (vs. intact) clothes_Abstract_1","CUE5_Appearance5_Provocative (vs. reserved) clothes_Abstract_1","CUE6_Appearance6_Unconventional (vs. conventional) appearance_Abstract_1","CUE8_Appearance8_Dark (vs. bright) clothes_Abstract_0","CUE10_Body1_Tense (vs. relaxed) posture_Abstract_1","CUE12_Body3_Overweight (vs. underweight)_Abstract_0","CUE15_Eyes1_Dark (vs. no dark) rings under eyes_Abstract_0","CUE16_Eyes2_Reddened (vs. non-reddened) eyes_Abstract_0","CUE17_Eyes3_Dark (vs. bright) eyes_Abstract_0","CUE18_Face1_Happy (vs. sad) expression_Abstract_1","CUE19_Face2_Babyish (vs. mature) Face_Abstract_1","CUE20_Face3_Feminine (vs. masculine) face_Abstract_1","CUE25_Face8_Ugly (vs. beautiful) face_Abstract_1","CUE26_Face9_Red (vs. pale) cheeks_Abstract_0","CUE54_Mouth3_Full (vs. narrow) lips_Abstract_0","CUE55_Set1_Pallid (vs. colorful) background_Abstract_0","CUE56_Set2_Unorganized (vs. organized) background_Abstract_1","CUE57_Set3_Alcohol (vs. no alcohol) visible_Abstract_0","CUE58_Set4_Picture taken inside (vs. outside)_Abstract_0","CUE60_Set6_Cigarettes (vs. no cigarettes) visible_Abstract_0","CUE65_Skin2_Pale (vs. tanned) skin_Abstract_0","CUE68_Skin5_Spotty (vs. spot-free) skin_Abstract_0","CUE69_Skin6_Greasy (vs. dry) skin_Abstract_0","CUE72_View2_Averted (vs. front-facing) gaze_Abstract_0"
3.45,3.375,2.375,5.0,3.375,4.5,2.0,2.375,2.125,2.75,4.125,6.875,4.0,5.0,3.5,4.25,2.0,2.625,4.75,1.0,8.0,7.0,4.625,2.625,5.625,2.0
3.075,1.875,2.5,5.0,4.0,1.0,5.75,5.875,2.375,2.0,4.5,3.375,2.75,4.625,4.0,5.0,3.5,5.25,2.5,0.0,7.0,7.0,4.125,2.75,4.375,1.875
3.15,3.0,2.4286,3.625,2.875,6.625,5.5,3.25,2.25,2.25,4.375,2.25,3.75,3.625,3.0,4.75,4.125,4.375,3.625,0.0,7.0,7.0,3.25,2.0,3.375,1.5
4.425,2.125,2.375,5.125,3.875,1.375,4.75,3.875,4.25,2.625,4.5,2.0,2.25,3.25,4.125,1.875,5.375,6.375,5.125,0.0,7.625,7.0,5.75,3.5,3.875,1.0
2.75,2.875,2.5,3.0,3.875,4.0,3.5,3.25,2.75,2.1429,4.625,6.875,3.125,4.0,3.75,3.125,2.625,6.375,3.375,0.0,7.5,7.0,4.375,2.375,4.25,2.0
5.65,3.0,1.5,6.25,4.25,6.25,6.125,3.125,3.75,2.25,4.5,2.25,3.5,5.0,3.75,3.375,4.125,4.625,2.875,0.0,7.75,7.0,2.875,2.25,4.75,3.75
3.175,2.0,2.5,1.75,4.125,6.25,3.125,5.25,3.125,2.125,4.5,5.875,4.0,4.0,5.125,4.125,4.5,3.625,4.625,0.0,7.0,7.0,3.5,2.75,5.0,2.75
4.275,4.25,2.875,5.125,3.125,2.0,4.0,3.5,5.0,2.5,3.375,5.625,4.125,4.25,5.25,6.75,4.625,5.0,4.625,0.0,8.0,7.0,4.75,4.875,5.125,4.375
3.85,1.625,2.5,3.0,3.5,6.125,3.25,2.25,3.875,3.125,4.375,6.75,4.25,4.125,4.875,5.125,2.875,4.0,4.875,0.0,8.0,7.0,4.75,4.25,5.25,5.375
2.875,3.375,1.5,2.375,2.5,5.5,4.5,5.375,5.0,3.125,3.5,5.25,2.625,3.5,6.0,4.625,3.5,5.75,4.125,0.0,8.0,7.0,4.25,4.125,5.75,2.1429
2.55,2.75,2.375,5.25,3.25,1.75,2.625,4.75,2.25,2.0,3.625,6.625,3.5,5.25,3.25,3.375,3.0,2.25,3.75,0.0,8.0,7.0,4.0,2.5,4.75,1.5714
4.225,2.375,3.75,1.625,4.75,3.875,2.5,3.625,3.375,2.875,4.5,4.625,4.75,5.375,3.125,3.25,4.5,3.75,4.125,0.0,8.0,7.0,4.5,2.5,5.0,5.375
2.45,2.0,2.75,1.75,3.0,5.125,3.5714,3.75,2.25,2.25,3.75,6.875,4.625,5.375,2.25,3.25,3.75,3.25,4.5,0.0,7.75,7.0,3.0,2.25,5.125,1.75
3.1,1.875,2.0,2.375,3.875,5.125,3.875,2.375,1.875,1.875,2.0,5.0,3.75,5.5,2.625,4.875,4.375,6.25,3.875,0.0,7.625,7.0,3.625,2.375,3.875,3.125
4.1,2.625,2.5,5.375,4.25,6.5,2.75,3.125,2.25,2.5,5.25,6.125,4.625,6.125,2.125,6.1429,3.75,3.625,3.125,0.0,8.0,7.0,3.0,3.5,5.125,1.5
2.825,3.875,1.625,3.125,3.5,5.625,3.375,3.75,2.875,2.125,5.375,6.25,4.0,5.0,2.875,3.875,3.75,5.125,3.625,0.0,8.0,7.0,3.375,3.5,4.25,1.5
2.45,1.75,2.25,2.25,3.0,4.125,3.5,4.0,2.375,2.0,4.625,5.25,5.75,3.25,4.125,4.5,3.375,2.125,2.875,0.0,7.0,7.0,5.25,2.75,4.875,5.75
3.95,2.375,3.4286,2.0,4.25,3.125,3.5,2.875,4.5,3.0,4.25,3.125,4.25,5.0,3.625,4.625,3.375,3.0,5.625,1.0,8.0,7.0,3.25,2.125,3.75,2.25
2.275,2.25,2.125,3.5,2.75,3.125,3.375,5.125,3.375,2.375,3.125,5.0,2.0,4.625,5.0,4.875,4.5,3.5,4.125,0.0,8.0,7.0,4.25,2.625,4.625,1.75
4.425,4.625,1.875,4.875,4.125,6.25,6.125,3.0,2.625,1.875,5.125,3.375,3.75,5.75,2.875,2.0,3.75,3.625,4.5,0.125,8.0,7.0,4.875,2.0,4.0,1.0
4.5,3.25,1.25,4.25,4.5,1.125,3.5,2.625,4.125,1.875,3.5,6.5,2.75,4.875,3.0,3.25,3.875,3.375,2.625,0.0,7.0,7.0,2.625,4.25,4.125,2.25
3.325,1.75,3.125,3.0,3.25,3.0,2.25,3.75,3.375,2.875,4.0,6.5,3.75,4.125,4.25,6.375,3.5,3.0,5.5,1.0,8.0,7.0,3.5,4.125,5.875,2.125
2.9,3.625,1.375,5.875,4.5,1.75,2.375,2.5,1.625,1.625,3.375,6.625,5.25,7.0,1.125,3.875,4.75,1.75,3.625,0.0,7.0,7.0,3.75,1.25,4.0,1.125
3.375,2.5,3.5,2.2857,3.5,4.125,3.75,4.5,3.5,2.5,4.125,3.25,4.375,3.0,4.0,1.875,3.875,3.75,6.0,1.0,8.0,7.25,5.625,2.875,4.875,5.5
4.275,4.625,3.5,5.625,4.0,5.0,3.0,5.5,2.75,3.25,4.125,2.75,4.5,4.375,5.0,2.125,5.375,5.5,6.0,1.0,7.625,8.0,4.5,3.125,5.125,6.75
5.25,3.75,2.25,6.875,4.5,3.625,3.875,4.0,3.25,2.125,6.125,4.25,3.0,6.0,3.5,3.875,4.375,5.5,4.75,0.0,8.0,7.0,2.0,2.125,5.125,2.0
3.875,2.875,1.875,4.375,4.125,6.25,5.125,3.375,2.375,2.75,5.0,4.0,3.75,5.75,2.125,4.375,4.5,5.0,3.0,0.0,8.0,7.0,2.25,2.0,4.25,2.0
3.55,1.75,2.875,2.875,3.25,3.75,4.875,4.5,4.625,2.625,4.375,2.0,2.25,3.625,5.0,4.375,4.75,5.375,4.0,0.0,8.0,7.0,5.875,5.25,3.25,1.25
3.925,3.0,2.25,3.625,4.125,6.375,3.5,2.125,3.625,2.75,4.5,1.25,2.75,5.5,2.875,2.0,4.375,3.125,5.0,0.0,8.0,7.0,5.5,5.5,3.375,6.375
3.125,2.5,3.0,2.5,3.375,6.0,3.75,3.5,1.8571,1.625,3.875,6.75,4.125,4.25,3.5,2.75,2.5,4.625,5.375,0.0,7.0,7.125,4.875,4.375,5.375,1.875
4.025,2.5,3.2857,1.375,3.5,3.625,4.0,4.125,4.375,2.25,2.5,2.875,4.5,3.75,5.125,4.875,4.5,2.875,4.375,0.0,7.0,7.0,5.0,5.375,4.125,2.25
3.95,2.875,2.5,3.5,3.0,5.625,2.875,3.375,3.5,1.875,5.5,2.75,3.75,4.375,3.375,4.375,3.5,3.625,5.125,0.0,8.0,7.0,3.0,3.375,4.0,7.0
4.55,4.75,2.375,5.5,3.625,2.25,3.25,3.5,2.625,2.75,4.75,3.25,5.25,5.375,3.75,3.375,3.625,5.75,4.875,0.0,8.0,7.0,4.75,3.5,4.625,5.375
3.7,2.375,3.5,1.875,3.125,6.125,4.5,4.625,4.125,2.25,4.75,1.875,4.25,3.25,5.25,3.375,3.125,5.0,6.75,0.0,8.0,7.0,3.875,2.875,3.875,1.75
2.975,5.0,1.25,5.125,3.25,3.75,3.5,3.625,3.375,2.25,4.0,5.625,3.125,5.375,2.75,5.625,2.25,2.875,3.0,1.0,7.0,7.0,3.875,2.875,5.125,1.25
2.625,2.0,2.25,5.0,4.125,1.875,2.25,2.5,3.125,1.875,3.375,4.875,5.5,5.375,1.875,5.0,4.0,1.5714,2.5,0.0,7.0,7.0,4.125,2.125,4.625,2.0
5.225,5.25,1.375,6.75,4.625,1.625,5.125,3.25,2.125,3.0,6.125,4.0,2.875,4.875,4.0,2.5,5.5,4.625,5.0,0.125,7.875,7.0,4.625,2.25,5.0,2.375
3.075,2.75,1.0,6.125,3.375,1.75,3.25,3.0,3.125,2.375,3.25,4.0,3.875,6.125,2.125,5.125,2.875,3.5,2.75,0.0,7.0,7.0,2.375,1.75,3.875,1.75
4.55,2.625,2.75,5.25,3.625,2.5,3.625,3.125,5.375,2.625,4.5,4.25,4.375,4.125,4.625,3.0,3.125,5.875,4.875,1.0,8.0,7.0,5.25,4.25,4.875,1.875
2.45,2.125,3.125,2.625,3.5,5.375,3.75,5.5,3.875,2.625,3.5,5.875,3.75,2.625,5.375,3.75,2.625,5.25,5.375,0.0,8.0,7.0,5.5,4.0,5.625,1.125
3.675,2.25,2.25,5.75,3.125,4.375,4.5,2.75,3.5,1.875,3.375,2.875,5.0,4.875,2.875,2.75,3.875,3.25,4.625,0.0,8.0,7.0,5.125,3.125,3.125,1.5
4.15,5.625,1.4286,6.8571,4.375,6.375,5.375,2.75,2.5,1.75,5.25,3.0,5.375,5.625,2.25,3.75,4.125,4.5,3.375,0.875,8.0,7.0,3.5,2.0,4.75,1.25
3.6,2.875,1.75,5.875,4.125,2.5,3.375,2.25,2.25,1.75,4.375,6.375,6.0,6.5,1.625,5.0,4.375,5.875,3.0,0.0,7.875,7.0,3.125,1.5,4.0,4.625
2.975,3.5,3.25,2.875,3.25,6.25,3.0,5.375,4.25,2.625,2.875,4.125,3.125,3.75,4.75,5.875,5.375,4.875,5.5,0.25,8.0,7.0,4.5,4.625,6.125,1.25
4.025,2.875,2.75,2.25,3.75,6.125,3.75,3.125,3.0,1.75,4.625,4.875,5.25,5.25,3.125,3.7143,4.625,3.75,3.0,0.0,7.0,7.0,4.5,2.375,4.125,5.875
2.675,2.125,2.125,5.25,3.375,3.75,2.625,3.5,2.375,3.0,3.25,6.125,3.875,5.25,2.75,5.125,3.25,1.375,3.875,1.0,7.0,7.0,2.5,3.125,5.125,1.25
3.075,1.875,1.875,3.375,3.5,3.5,2.75,4.0,3.375,2.125,5.375,5.75,4.875,5.25,2.5,4.5,4.125,1.875,3.25,0.0,7.0,7.0,2.75,2.375,4.875,1.125
3.425,1.625,2.5,3.125,3.875,2.5,2.875,3.625,3.75,2.125,3.875,6.125,4.5,4.625,3.0,4.5,4.0,5.25,5.875,0.0,8.0,7.0,2.75,2.5,4.5,1.75
4.55,2.0,2.7143,1.875,4.75,1.125,5.75,3.2857,5.375,3.75,5.375,1.375,2.25,4.25,3.875,3.0,4.0,3.875,4.375,0.0,7.0,7.0,4.125,4.25,3.125,6.0
2.75,3.5,2.0,6.875,4.0,1.0,2.375,3.375,2.0,2.75,3.75,4.375,3.875,6.125,2.25,5.75,2.75,3.625,3.25,0.0,7.25,7.0,2.5,1.875,4.25,6.25
3.5,2.375,1.75,4.375,2.8571,2.125,2.75,4.375,2.5,3.125,5.7143,6.25,3.75,3.5,4.25,5.375,3.25,3.75,2.875,0.875,8.0,7.0,4.0,2.625,5.4286,2.125
4.85,3.75,1.5,3.875,3.375,5.375,4.125,3.25,2.5,2.875,5.125,3.25,4.125,3.0,4.625,4.25,3.375,2.875,1.75,0.0,7.875,7.0,3.5,2.375,4.875,2.625
4.925,3.125,1.0,3.5,4.625,2.7143,3.375,2.75,3.875,2.375,6.75,3.75,2.5,3.125,3.125,4.0,5.25,4.0,2.125,1.0,7.0,7.0,3.375,2.75,3.75,1.5
4.025,2.125,2.5,6.375,3.625,4.875,2.625,3.75,2.875,3.125,4.4286,6.25,3.375,2.625,3.0,3.8571,3.75,2.25,4.25,0.0,7.0,7.0,4.375,2.125,4.125,2.625
3.55,1.625,1.875,3.375,2.875,6.125,4.125,4.75,3.625,4.25,3.875,5.0,4.875,3.5,3.875,3.1429,5.375,3.875,3.875,0.0,7.125,7.0,4.75,1.75,3.625,2.625
3.15,1.625,2.0,3.0,3.625,5.875,3.25,5.125,3.25,4.125,2.125,5.875,5.125,5.25,5.25,5.25,3.75,4.875,4.0,0.0,8.0,7.0,5.125,2.75,4.375,3.625
3.875,1.75,2.0,4.125,3.25,2.875,3.75,3.125,3.75,2.75,2.625,4.75,4.5,4.125,4.0,2.8571,4.875,5.5,3.75,0.0,8.0,7.0,5.125,4.625,4.0,1.375
3.75,3.25,1.5,4.125,3.125,3.875,3.375,4.0,4.25,3.625,5.875,5.875,3.5,3.625,3.625,3.25,3.75,3.875,3.0,0.0,7.875,7.0,5.25,3.625,5.0,1.5
4.575,3.875,2.0,5.625,3.625,4.125,3.625,2.75,2.875,2.625,3.0,4.125,5.1429,3.375,3.875,4.75,4.0,2.625,5.375,0.0,7.0,7.0,4.375,2.75,3.5,6.875
3.9,2.875,2.25,6.75,3.625,2.0,4.0,3.625,2.75,3.25,5.0,4.875,3.125,2.625,3.375,5.0,4.0,1.375,6.0,0.0,7.0,7.0,3.75,1.625,4.5,3.625
3.7,2.375,2.25,6.5,3.75,3.25,2.125,3.25,3.375,3.625,5.0,5.0,4.125,2.875,3.0,4.75,3.2857,1.5,5.25,0.0,7.0,7.0,4.25,2.0,3.875,7.0
3.575,1.625,2.0,3.875,3.125,3.125,5.0,3.625,3.25,3.5,6.0,1.875,4.0,2.75,3.625,4.25,4.625,3.125,5.125,0.0,7.0,7.0,4.375,3.375,3.875,7.0
1.825,1.375,2.0,2.875,4.25,4.125,3.75,5.875,3.375,3.625,4.75,6.5,5.25,4.75,5.75,4.25,4.75,2.625,3.0,0.0,7.0,7.0,5.0,2.625,5.0,1.375
4.65,2.5,1.625,4.625,4.2857,3.0,3.75,4.125,3.75,4.375,5.0,4.0,2.625,2.875,3.875,3.375,5.0,5.0,2.625,0.0,8.0,7.0,4.125,1.75,3.625,1.875
2.4,1.375,3.875,3.5,3.25,3.75,4.0,6.25,4.875,3.875,3.125,6.25,4.75,4.875,5.5,4.75,4.125,3.0,4.125,0.0,7.0,7.0,5.125,2.5,6.0,1.625
4.55,2.375,3.5,2.75,4.4286,3.5714,5.375,4.625,5.125,4.125,5.375,1.875,2.375,2.75,5.375,4.75,4.375,6.125,3.0,0.0,7.0,7.875,4.0,3.5,4.75,2.625
3.175,2.0,2.125,4.625,3.25,3.75,3.0,3.75,3.625,3.625,2.875,6.5,4.625,5.0,4.375,5.25,5.125,4.125,5.5,0.0,8.0,7.0,4.625,4.625,5.5,3.625
4.15,3.125,1.75,4.0,3.875,5.5,3.5,2.875,2.25,3.5,5.125,5.375,5.125,4.75,3.375,3.75,2.625,5.75,2.75,0.0,7.375,7.0,4.25,3.625,3.625,5.875
3.625,2.5,1.25,4.5,3.0,6.5,2.5,4.375,2.5,2.875,3.75,6.375,3.125,3.375,4.125,4.625,4.375,5.125,2.875,0.0,8.0,7.0,4.625,2.875,4.875,1.5
3.875,2.5,2.375,3.125,5.25,5.375,4.625,5.0,4.5,2.875,1.375,3.25,4.25,4.25,5.5,5.125,6.125,6.0,2.375,0.0,7.0,7.0,5.25,3.75,3.25,1.875
5.275,2.125,3.75,5.125,4.125,3.375,4.75,3.125,5.5,4.625,5.125,4.0,4.875,3.5,4.125,6.0,5.0,2.875,3.875,1.0,7.0,7.0,4.25,5.25,4.625,6.75
3.675,4.125,1.5,5.0,3.625,6.25,5.0,4.25,3.125,3.125,4.875,3.75,3.875,2.125,2.25,2.875,3.625,3.125,4.5,0.25,7.0,7.0,4.0,1.625,4.125,6.75
4.25,2.75,2.0,6.5,2.625,4.5,4.125,3.75,3.125,3.0,2.375,4.375,3.0,2.25,3.0,3.5714,5.375,3.0,3.4286,0.0,7.0,7.0,4.625,2.0,4.25,6.625
4.6,2.125,1.5,4.25,3.7143,5.875,3.5,4.25,3.7143,3.75,5.875,3.25,4.0,3.0,3.125,3.7143,5.25,2.875,5.0,0.0,7.0,7.0,3.625,2.5,3.875,3.25
4.55,5.5,2.125,4.25,4.625,5.5,3.5,3.25,3.0,4.25,4.0,4.5,4.125,3.125,3.375,3.2857,4.125,4.0,4.2857,0.0,7.0,7.0,4.5,3.0,4.875,2.25
4.325,2.375,1.0,5.5,5.25,1.875,4.375,2.0,2.5,2.25,5.625,5.25,4.625,4.625,3.0,3.1429,3.125,2.25,3.375,0.0,8.0,7.0,4.125,2.125,4.25,1.75
2.575,1.875,1.0,2.0,2.75,5.25,5.625,3.875,2.875,2.125,2.125,4.125,4.5,4.125,4.375,3.0,4.375,3.2857,2.25,0.0,7.0,7.0,5.0,2.375,5.125,1.375
2.375,1.875,2.0,4.125,2.375,5.375,3.625,3.0,2.875,2.5,3.25,6.0,4.25,4.0,5.0,3.375,3.5,3.125,5.625,0.0,7.0,7.0,4.875,2.375,4.5,2.125
4.125,1.75,2.25,3.25,2.875,4.875,3.5,3.625,2.75,3.375,4.125,6.125,3.625,3.125,5.0,4.125,4.0,3.375,4.75,0.0,8.0,7.0,5.0,3.25,4.0,1.375
5.325,2.25,2.75,4.25,4.25,3.5,3.5,2.625,4.75,3.875,5.75,3.5,3.75,2.75,4.625,3.125,3.25,3.875,4.375,0.0,7.75,7.0,5.125,3.625,5.25,1.75
3.775,1.5,2.25,3.5,4.375,6.5,3.125,4.875,2.875,3.125,5.875,3.875,4.375,3.875,4.375,4.375,2.125,4.25,3.0,0.0,7.0,7.0,4.875,2.625,4.375,6.625
4.35,2.0,3.0,3.375,3.125,6.0,3.125,5.125,3.625,5.75,3.0,3.875,4.875,4.125,5.375,6.0,3.5,5.25,4.5,0.0,8.0,7.125,4.75,4.625,6.0,2.375
3.775,2.625,1.625,4.75,3.125,3.0,4.75,2.625,3.375,3.625,1.625,3.5,5.25,5.5,3.25,2.75,5.75,5.125,1.375,0.0,8.0,7.0,4.875,1.875,3.25,5.375
4.65,3.25,4.625,6.0,4.375,4.0,3.625,3.75,3.25,2.75,6.375,3.875,3.625,2.75,3.375,4.0,3.625,4.375,5.75,0.0,7.0,7.125,4.125,3.25,4.25,6.625
5.3,4.625,6.125,5.5,4.375,3.5,4.25,3.5,4.625,3.5,6.375,1.875,3.0,3.0,4.125,3.5,3.625,2.75,4.125,0.0,7.0,7.0,4.5,4.125,4.5,6.875
4.525,2.25,2.25,3.625,3.875,4.625,4.375,3.25,1.875,3.0,4.5,2.375,4.875,4.625,4.75,3.5,4.875,5.375,4.125,0.125,8.0,7.0,5.125,3.25,5.125,2.25
4.45,2.0,1.75,4.25,3.25,4.75,3.5,4.5,2.0,2.125,1.125,6.25,1.875,2.875,4.25,5.75,2.875,4.25,6.375,0.625,7.25,7.125,3.875,3.0,5.625,1.5
2.675,1.5,2.75,4.125,2.5,3.0,3.375,3.25,3.5,2.125,4.1429,3.375,2.875,2.875,3.875,5.25,4.5,5.25,3.625,0.0,7.0,7.0,4.875,3.875,3.625,6.125
2.625,1.375,2.5,3.75,2.75,3.25,3.25,3.125,3.375,1.75,3.25,3.75,3.375,4.25,3.75,3.125,3.75,3.875,3.5,0.0,7.0,7.0,5.0,3.25,3.625,3.0
3.3,2.375,1.25,3.875,3.0,2.5,3.375,5.5,3.5,4.0,5.375,3.375,3.375,4.125,5.75,6.25,4.5,4.75,4.125,0.0,8.0,7.0,4.0,4.25,5.0,1.875
5.925,4.75,2.625,5.625,5.0,2.75,3.625,3.0,4.375,5.625,4.5,5.625,3.5,3.0,4.625,3.75,4.25,6.75,1.625,0.0,7.875,7.0,4.625,4.0,4.0,6.125
4.225,2.875,1.5,4.0,3.625,5.5,4.0,5.5,4.375,4.5,3.0,4.25,3.0,3.375,5.5,5.125,5.25,3.5,4.25,0.125,7.0,7.125,4.875,3.0,4.5,2.625
2.5,2.0,1.375,3.75,3.25,2.75,2.25,4.125,2.5714,3.875,2.875,6.375,3.125,3.875,4.375,6.5,2.0,2.875,4.125,0.0,7.0,7.0,5.0,3.75,3.5,2.0
3.35,2.25,1.625,3.75,2.125,2.125,3.125,3.25,2.4286,1.75,1.625,5.125,5.375,4.125,3.625,4.25,3.75,3.375,4.5714,0.0,7.375,7.125,4.0,2.5,3.75,1.75
2.25,2.375,1.625,3.625,2.625,3.125,4.25,4.0,3.0,3.75,3.625,4.75,2.625,2.875,4.25,6.5,2.875,3.5,5.375,0.0,8.0,7.0,4.125,3.25,5.375,1.5
3.7,1.625,3.0,4.125,3.5,1.75,3.875,3.25,4.25,3.5,3.25,4.75,5.75,4.5,5.125,2.375,4.875,4.375,4.125,0.0,7.0,7.0,5.375,4.0,4.375,4.25
2.075,1.125,2.375,3.875,2.75,3.375,4.125,5.125,2.875,3.625,3.1429,5.125,5.75,5.0,5.0,4.875,4.125,4.5,5.5,0.0,8.0,7.0,4.25,2.125,5.375,2.5
4.25,1.625,2.375,4.875,3.25,3.75,4.0,3.4286,2.375,3.375,1.75,5.125,5.0,3.75,4.5,5.75,3.875,4.875,6.0,1.0,7.0,7.0,4.0,2.875,4.875,1.875
3.05,3.5,2.125,4.125,5.125,2.125,4.5,3.5714,3.375,2.25,6.0,2.25,4.125,2.625,2.625,2.75,5.375,4.5,4.25,0.0,7.0,7.0,4.0,1.625,3.625,5.75
3.925,4.125,2.0,6.75,3.625,3.5,4.125,3.625,2.75,2.875,4.625,3.75,3.375,2.0,2.5,5.0,3.875,3.125,2.375,0.0,7.0,7.0,3.4286,2.0,3.875,6.25
4.2,1.625,1.5,4.125,2.75,4.625,4.75,2.875,3.125,1.875,2.5,2.875,3.125,3.0,3.125,3.25,4.5,3.375,5.125,0.0,8.0,7.25,4.0,3.0,4.25,6.875
4.25,3.125,2.25,5.75,3.25,3.125,3.375,4.625,2.625,1.875,4.375,2.5,2.5,2.5,3.125,4.625,4.25,4.75,2.375,0.0,7.0,7.0,4.5,3.1429,4.625,7.0
3.7,2.125,1.625,4.75,3.75,2.125,3.875,2.5,3.75,3.25,2.375,3.625,5.125,4.25,3.0,2.4286,5.25,5.875,2.875,0.0,7.0,7.25,4.375,2.25,4.625,2.375
2.575,2.0,1.25,4.75,2.0,5.25,3.125,3.25,2.375,1.5,3.875,5.125,5.0,3.875,2.125,3.5,4.25,5.0,2.125,0.0,8.0,7.0,4.0,2.125,3.75,1.25
3.675,2.25,2.5,5.125,2.75,5.5,3.875,3.25,3.0,3.0,4.25,6.5,4.125,3.5,2.125,4.0,3.375,6.0,3.75,1.0,7.125,7.0,3.875,2.125,5.625,2.0
4.375,2.375,1.5,3.5,4.5,6.125,4.25,2.5,3.5,2.875,6.25,2.625,3.125,2.875,4.25,2.75,5.125,3.75,3.5,1.0,7.875,7.125,4.75,1.625,3.625,1.0
4.575,2.875,3.75,5.25,4.4286,1.875,3.75,1.875,4.0,3.375,4.5,5.625,5.25,3.375,3.375,3.0,3.0,5.75,2.375,0.0,7.0,7.125,4.5,2.125,3.75,2.625
2.8,1.125,1.875,2.625,4.5,6.375,4.375,4.5,3.125,3.625,4.25,1.375,5.75,3.75,6.125,2.0,5.0,6.875,2.0,0.0,8.0,7.125,4.875,4.5,5.5,2.625
